optim,number,rep,radius,complete
TNB,53,3,2000,t
TNB,54,4,2000,t
TNB,55,5,2000,t
TNB,56,6,2000,t
TNB,57,7,2000,t
TNB,58,8,2000,t
TNB,59,9,2000,t
TNB,60,10,2000,t
TNB,61,11,2000,t
TNB,62,12,2000,t
TNB,63,13,2000,t
TNB,64,14,2000,t
TNB,65,15,2000,t
TNB,66,16,2000,t
TNB,67,17,2000,t
TNB,68,18,2000,f
TNB,69,19,2000,t
TNB,70,20,2000,t
TNB,71,21,2000,t
TNB,72,22,2000,t
TNB,73,23,2000,t
TNB,74,24,2000,t
TNB,75,25,2000,t
TNB,76,26,2000,t
GNS,1,1,500,t
GNS,2,2,500,t
GNS,3,3,500,t
GNS,4,4,500,t
GNS,5,5,500,t
GNS,6,6,500,t
GNS,7,7,500,t
GNS,8,8,500,t
GNS,9,9,500,t
GNS,10,10,500,t
GNS,11,11,500,t
GNS,12,12,500,t
GNS,13,13,500,t
GNS,14,14,500,t
GNS,15,15,500,t
GNS,16,16,500,t
GNS,17,17,500,f
GNS,18,18,500,f
GNS,19,19,500,f
GNS,20,20,500,t
GNS,21,21,500,t
GNS,22,22,500,t
GNS,23,23,500,t
GNS,24,24,500,t
GNS,25,25,500,t
GNS,26,1,1000,t
GNS,27,2,1000,t
GNS,28,3,1000,t
GNS,29,4,1000,t
GNS,30,5,1000,t
GNS,31,6,1000,t
GNS,32,7,1000,t
GNS,33,8,1000,t
GNS,34,9,1000,t
GNS,35,10,1000,t
GNS,36,11,1000,t
GNS,37,12,1000,t
GNS,38,13,1000,t
GNS,39,14,1000,t
GNS,40,15,1000,t
GNS,41,16,1000,t
GNS,42,17,1000,t
GNS,43,18,1000,t
GNS,44,19,1000,t
GNS,45,20,1000,t
GNS,46,21,1000,t
GNS,47,22,1000,t
GNS,48,23,1000,t
GNS,49,24,1000,t
GNS,50,25,1000,t
GNS,51,1,2000,t
GNS,52,2,2000,t
GNS,53,3,2000,t
GNS,54,4,2000,t
GNS,55,5,2000,t
GNS,56,6,2000,t
GNS,57,7,2000,t
GNS,58,8,2000,t
GNS,59,9,2000,t
GNS,60,10,2000,t
GNS,61,11,2000,t
GNS,62,12,2000,t
GNS,63,13,2000,t
GNS,64,14,2000,t
GNS,65,15,2000,t
GNS,66,16,2000,t
GNS,67,17,2000,t
GNS,68,18,2000,t
GNS,69,19,2000,t
GNS,70,20,2000,t
GNS,71,21,2000,t
GNS,72,22,2000,t
GNS,73,23,2000,t
GNS,74,24,2000,f
GNS,75,25,2000,f
GNS,76,26,2000,t
AllBees,1,1,500,t
AllBees,2,2,500,t
AllBees,3,3,500,f
AllBees,4,4,500,f
AllBees,5,5,500,t
AllBees,6,6,500,t
AllBees,7,7,500,t
AllBees,8,8,500,t
AllBees,9,9,500,t
AllBees,10,10,500,t
AllBees,11,11,500,t
AllBees,12,12,500,t
AllBees,13,13,500,t
AllBees,14,14,500,t
AllBees,15,15,500,t
AllBees,16,16,500,t
AllBees,17,17,500,t
AllBees,18,18,500,t
AllBees,19,19,500,t
AllBees,20,20,500,t
AllBees,21,21,500,t
AllBees,22,22,500,t
AllBees,23,23,500,t
AllBees,24,24,500,t
AllBees,25,25,500,t
AllBees,26,1,1000,t
AllBees,27,2,1000,f
AllBees,28,3,1000,t
AllBees,29,4,1000,t
AllBees,30,5,1000,t
AllBees,31,6,1000,t
AllBees,32,7,1000,t
AllBees,33,8,1000,t
AllBees,34,9,1000,t
AllBees,35,10,1000,t
AllBees,36,11,1000,t
AllBees,37,12,1000,t
AllBees,38,13,1000,t
AllBees,39,14,1000,t
AllBees,40,15,1000,t
AllBees,41,16,1000,t
AllBees,42,17,1000,t
AllBees,43,18,1000,t
AllBees,44,19,1000,t
AllBees,45,20,1000,t
AllBees,46,21,1000,t
AllBees,47,22,1000,t
AllBees,48,23,1000,t
AllBees,49,24,1000,t
AllBees,50,25,1000,t
AllBees,51,1,2000,t
AllBees,52,2,2000,t
AllBees,53,3,2000,t
AllBees,54,4,2000,t
AllBees,55,5,2000,t
AllBees,56,6,2000,t
AllBees,57,7,2000,t
AllBees,58,8,2000,t
AllBees,59,9,2000,t
AllBees,60,10,2000,t
AllBees,61,11,2000,t
AllBees,62,12,2000,t
AllBees,63,13,2000,t
AllBees,64,14,2000,t
AllBees,65,15,2000,t
AllBees,66,16,2000,t
AllBees,67,17,2000,t
AllBees,68,18,2000,t
AllBees,69,19,2000,t
AllBees,70,20,2000,t
AllBees,71,21,2000,t
AllBees,72,22,2000,t
AllBees,73,23,2000,t
AllBees,74,24,2000,t
AllBees,75,25,2000,t
AllBees,76,26,2000,f
Farmer,1,1,500,t
Farmer,2,2,500,t
Farmer,3,3,500,f
Farmer,4,4,500,f
Farmer,5,5,500,f
Farmer,6,6,500,t
Farmer,7,7,500,t
Farmer,8,8,500,t
Farmer,9,9,500,t
Farmer,10,10,500,t
Farmer,11,11,500,t
Farmer,12,12,500,t
Farmer,13,13,500,t
Farmer,14,14,500,t
Farmer,15,15,500,t
Farmer,16,16,500,t
Farmer,17,17,500,t
