Code_Spatial,Landclass_Spatial,Dataset_Spatial,Landclass_Traffic,Landclass_ExpOp,Landclass_ExpOp_Lowland,Landclass_ExpOp_Upland,Code_ExpOp_GFS,Landclass_ExpOp_GFS
158,Religious Grounds,OSGreenSpace,,Urban Greenspace_Cemeteries,Urban Greenspace_Cemeteries,Urban Greenspace_Cemeteries,7,Gardens
159,Tennis Court,OSGreenSpace,,Urban Greenspace_Playing fields (i.e. grass without trees),Urban Greenspace_Playing fields (i.e. grass without trees),Urban Greenspace_Playing fields (i.e. grass without trees),0,Unsuitable
1001,Blanket bog,PriorityHabitats,,Bog_Blanket bog,Bog_Blanket bog,Bog_Blanket bog,23,Wetlands
1002,Calaminarian grassland,PriorityHabitats,,Upland Semi-natural Grassland,Upland Semi-natural Grassland,Upland Semi-natural Grassland,22,Unimproved Permanent Grassland
1003,Coastal and floodplain grazing marsh,PriorityHabitats,,Lowland Semi-natural Grassland,Lowland Semi-natural Grassland,Lowland Semi-natural Grassland,22,Unimproved Permanent Grassland
1004,Coastal sand dunes,PriorityHabitats,,Coastal Sediment_Coastal sand dunes,Coastal Sediment_Coastal sand dunes,Coastal Sediment_Coastal sand dunes,2,"Beaches, Sand Dunes/Plane"
1005,Coastal vegetated shingle,PriorityHabitats,,Coastal Rock_Coastal vegetated shingle,Coastal Rock_Coastal vegetated shingle,Coastal Rock_Coastal vegetated shingle,0,Unsuitable
1006,Deciduous woodland,PriorityHabitats,,Broadleaved Woodland,Broadleaved Woodland,Broadleaved Woodland,4,Deciduous woodland
1007,Limestone pavement,PriorityHabitats,,Inland Rock,Inland Rock,Inland Rock,0,Unsuitable
1008,Lowland calcareous grassland,PriorityHabitats,,Lowland Semi-natural Grassland,Lowland Semi-natural Grassland,Lowland Semi-natural Grassland,22,Unimproved Permanent Grassland
1009,Lowland dry acid grassland,PriorityHabitats,,Lowland Semi-natural Grassland,Lowland Semi-natural Grassland,Lowland Semi-natural Grassland,22,Unimproved Permanent Grassland
1010,Lowland fens,PriorityHabitats,,"Fen, Marsh and Swamp_Lowland fens (mixed vegetation)","Fen, Marsh and Swamp_Lowland fens (mixed vegetation)","Fen, Marsh and Swamp_Lowland fens (mixed vegetation)",23,Wetlands
1011,Lowland heathland,PriorityHabitats,,Lowland Heathland,Lowland Heathland,Lowland Heathland,15,Moorland
1012,Lowland meadows,PriorityHabitats,,Lowland Semi-natural Grassland_Lowland hay meadows,Lowland Semi-natural Grassland_Lowland hay meadows,Lowland Semi-natural Grassland_Lowland hay meadows,21,Unimproved Meadow
1013,Lowland raised bog,PriorityHabitats,,Bog_Lowland raised bog,Bog_Lowland raised bog,Bog_Lowland raised bog,23,Wetlands
1014,Maritime cliff and slope,PriorityHabitats,,Coastal Rock_Maritime cliff & slope,Coastal Rock_Maritime cliff & slope,Coastal Rock_Maritime cliff & slope,2,"Beaches, Sand Dunes/Plane"
1015,Mountain heaths and willow scrub,PriorityHabitats,,Upland Heathland,Upland Heathland,Upland Heathland,15,Moorland
1016,Mudflats,PriorityHabitats,,Coastal Sediment_Mudflats,Coastal Sediment_Mudflats,Coastal Sediment_Mudflats,0,Unsuitable
1017,Purple moor grass and rush pastures,PriorityHabitats,,Bog_Purple moor grass & rush pastures,Bog_Purple moor grass & rush pastures,Bog_Purple moor grass & rush pastures,22,Unimproved Permanent Grassland
