species,code,lu,ref_to,Flor_P1_b,Flor_P1_l,Flor_P1_u,Flor_P2_b,Flor_P2_l,Flor_P2_u,Flor_P3_b,Flor_P3_l,Flor_P3_u,Nest_P1_b,Nest_P1_l,Nest_P1_u,Nest_per_ha
5,28,28,NA,12,8.4,15.6,12,8.4,15.6,12,8.4,15.6,0,0,0,NA
5,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,30,30,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
5,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,32,32,NA,4,2.8,5.2,4,2.8,5.2,4,2.8,5.2,0,0,0,NA
5,33,33,NA,16,12.8,19.2,16,12.8,19.2,16,12.8,19.2,0,0,0,NA
5,34,34,NA,16,12.8,19.2,16,12.8,19.2,16,12.8,19.2,0.4,0.32,0.48,NA
5,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,37,37,NA,12,8.4,15.6,12,8.4,15.6,12,8.4,15.6,0,0,0,NA
5,38,38,NA,12,8.4,15.6,12,8.4,15.6,12,8.4,15.6,NA,NA,NA,NA
5,39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,40,40,NA,4,2.8,5.2,4,2.8,5.2,4,2.8,5.2,0,0,0,NA
5,41,41,NA,12,8.4,15.6,12,8.4,15.6,12,8.4,15.6,0,0,0,NA
5,42,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,44,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,46,46,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
6,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,NA,9.333333333,4.861197378,13.80546929,9.333333333,4.861197378,13.80546929,9.333333333,4.861197378,13.80546929,0.425,0.205422484,0.644577516,8.5
6,2,2,NA,9.333333333,4.861197378,13.80546929,9.333333333,4.861197378,13.80546929,9.333333333,4.861197378,13.80546929,0.4,0.4,0.4,8
6,3,3,NA,6.666666667,5.252453104,8.080880229,6.666666667,5.252453104,8.080880229,6.666666667,5.252453104,8.080880229,0.314285714,0.23869282,0.389878609,6.285714286
6,4,4,NA,12.28571429,10.37181678,14.19961179,12.28571429,10.37181678,14.19961179,12.28571429,10.37181678,14.19961179,0.676923077,0.565983038,0.787863116,13.53846154
6,5,5,NA,10.54545455,9.380304015,11.71060508,10.54545455,9.380304015,11.71060508,10.54545455,9.380304015,11.71060508,0.4,0.4,0.4,8
6,6,6,NA,9.454545455,8.289394925,10.61969598,9.454545455,8.289394925,10.61969598,9.454545455,8.289394925,10.61969598,0.4,0.4,0.4,8
6,7,7,NA,16,14.18835675,17.81164325,16,14.18835675,17.81164325,16,14.18835675,17.81164325,0.742857143,0.688723947,0.796990339,14.85714286
6,8,8,NA,9.333333333,8.196262846,10.47040382,9.333333333,8.196262846,10.47040382,9.333333333,8.196262846,10.47040382,0.533333333,0.476479809,0.590186858,10.66666667
6,9,9,NA,12,12,12,12,12,12,12,12,12,0.366666667,0.270266826,0.463066507,7.333333333
6,10,10,NA,8,8,8,8,8,8,8,8,8,0.316666667,0.257207828,0.376125506,6.333333333
6,11,11,NA,11.63636364,9.716767719,13.55595955,11.63636364,9.716767719,13.55595955,11.63636364,9.716767719,13.55595955,0.533333333,0.476479809,0.590186858,10.66666667
6,12,12,NA,14.85714286,13.77447893,15.93980678,14.85714286,13.77447893,15.93980678,14.85714286,13.77447893,15.93980678,0.857142857,0.803009661,0.911276053,17.14285714
6,13,13,NA,8,6.114381917,9.885618083,8,6.114381917,9.885618083,8,6.114381917,9.885618083,0.307692308,0.154102778,0.461281837,6.153846154
6,14,14,NA,6.769230769,5.659830377,7.878631162,6.769230769,5.659830377,7.878631162,6.769230769,5.659830377,7.878631162,0.246153846,0.129212777,0.363094915,4.923076923
6,15,15,NA,10.90909091,8.578789849,13.23939197,10.90909091,8.578789849,13.23939197,10.90909091,8.578789849,13.23939197,0.533333333,0.419626285,0.647040382,10.66666667
6,16,16,NA,8,8,8,8,8,8,8,8,8,0.327272727,0.269015201,0.385530254,6.545454545
6,17,17,NA,6,4.450806662,7.549193338,6,4.450806662,7.549193338,6,4.450806662,7.549193338,0.4,0.4,0.4,8
6,18,18,NA,8,8,8,8,8,8,8,8,8,0.5,0.422540333,0.577459667,10
6,19,19,NA,7.2,5.935088936,8.464911064,7.2,5.935088936,8.464911064,7.2,5.935088936,8.464911064,0.36,0.296754447,0.423245553,7.2
6,20,20,NA,13.33333333,12.19626285,14.47040382,13.33333333,12.19626285,14.47040382,13.33333333,12.19626285,14.47040382,0.733333333,0.676479809,0.790186858,14.66666667
6,21,21,NA,13.33333333,10.3249276,16.34173907,13.33333333,10.3249276,16.34173907,13.33333333,10.3249276,16.34173907,0.454545455,0.400609466,0.508481444,9.090909091
6,22,22,NA,12.61538462,8.632515315,16.59825392,12.61538462,8.632515315,16.59825392,12.61538462,8.632515315,16.59825392,0.381818182,0.285838386,0.477797978,7.636363636
6,23,23,NA,8,8,8,8,8,8,8,8,8,0.4,0.4,0.4,8
6,24,24,NA,16,16,16,16,16,16,16,16,16,0.815384615,0.715812883,0.914956348,16.30769231
6,25,25,NA,16,14.4,17.6,16,14.4,17.6,16,14.4,17.6,0.8,0.72,0.88,16
6,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
