"","gnb","tnb","gns","farmer","optim","rep","landscape"
"61",-8853857924398.06,-8237724204789.18,-175269875.434529,-477312.274554072,"TNB",56,1
"62",-7969432316805.76,-7913186752979.08,-168916560.193403,-467645.226687378,"TNB",56,2
"63",-9605852936301.64,-8258320030078.24,-177892172.615878,-463263.006834324,"TNB",56,3
"64",-8842231227813.26,-8264244691040.29,-171735043.468821,-442747.139581454,"TNB",57,1
"65",-8242960834587.87,-8307976521696.26,-164639452.734611,-439562.457603066,"TNB",57,2
"66",-9251208637195.52,-8388237288377.82,-172862433.123695,-444500.969507707,"TNB",57,3
"67",-8791714462710.88,-8697004106438.75,-171462369.985521,-457713.068713578,"TNB",58,1
"68",-7579851547276.22,-8420301155089.48,-164543697.002935,-471928.370005087,"TNB",58,2
"69",-7702229287869.9,-8263872785479.66,-167075801.282296,-492759.043453771,"TNB",58,3
"70",-8360329258222.58,-8263538243583.38,-168857839.21517,-467843.516753814,"TNB",59,1
"71",-8544451858292.38,-8220184469747.98,-170050814.174099,-480352.390770322,"TNB",59,2
"72",-8477502959153.55,-8131610507700.15,-171696446.298507,-477574.602793726,"TNB",59,3
"73",-8817699108069.6,-9115410604679.32,-171257028.635967,-453356.619512478,"TNB",60,1
"74",-8299172592880.05,-8909005850705.53,-168869706.038596,-451045.581227983,"TNB",60,2
"75",-8553620317027.36,-8736193563614.08,-174666949.603108,-459763.274119883,"TNB",60,3
"76",-8109123479164.73,-8680020034806.79,-166475248.179073,-455744.083133874,"TNB",61,1
"77",-7781523954728.75,-8479911309855.56,-164691757.933036,-472482.101720921,"TNB",61,2
"78",-8767792781000.33,-8250921631703.68,-176275034.331023,-469238.876630422,"TNB",61,3
"79",-10372466188910.3,-9548451871528.15,-180613737.857991,-440582.754670942,"TNB",62,1
"80",-9632542654347.01,-9090901159429.39,-175627225.458903,-456426.050901914,"TNB",62,2
"81",-9832420490202.74,-8732026518816.26,-180563352.710823,-456485.318969161,"TNB",62,3
"82",-8180133685892.91,-8215264834377.18,-163617781.593492,-450055.552063635,"TNB",63,1
"83",-8052361474420.43,-7940556229009.54,-164779425.728767,-453647.053339679,"TNB",63,2
"84",-8677686841446.29,-8074752542277.72,-173472565.429583,-493257.78063382,"TNB",63,3
"85",-7671326162322.05,-8487985839790.51,-163665240.218158,-446166.333888915,"TNB",64,1
"86",-8385711806278.68,-8211862340888.75,-169235453.279299,-447525.124729635,"TNB",64,2
"87",-8391944013420.06,-8491057886946.33,-171102675.864853,-470263.18457841,"TNB",64,3
"88",-9180197026608.24,-9371832348722.98,-172261277.475886,-456695.659006072,"TNB",65,1
"89",-8706710897114.17,-9275976268353.55,-165340292.242536,-443642.035839301,"TNB",65,2
"90",-9270799870414.25,-9222915775561.95,-175612287.149291,-461750.937422773,"TNB",65,3
"91",-7667772730306.9,-8190248781716.29,-172603528.193182,-478914.782845268,"TNB",66,1
"92",-7443419611605.68,-8215462982646.94,-162503827.335876,-451414.478143388,"TNB",66,2
"93",-7393571378660.1,-8138346152252.03,-162462092.373073,-458789.154622558,"TNB",66,3
"94",-8805570978307.35,-8249196421822.08,-175706645.129064,-459068.197610792,"TNB",67,1
"95",-8732898886147.5,-8330539137361.75,-178060279.671203,-482439.376069858,"TNB",67,2
"96",-8130927085422.19,-8103894423441.9,-169811086.659622,-446741.036238919,"TNB",67,3
"97",-7625159851590.72,-8333902250093.04,-159982214.479436,-459719.861865723,"TNB",69,1
"98",-8566610661295.06,-8354322671074.15,-169345303.694201,-469560.599400735,"TNB",69,2
"99",-8219364471806.26,-8120752037065.98,-166556274.830162,-470510.422409348,"TNB",69,3
"100",-7247385694602,-8773400097560.63,-156993095.998635,-427670.048754915,"TNB",70,1
"101",-6807302958478.83,-7860010024566.04,-156670892.577397,-458598.442364986,"TNB",70,2
"102",-7479019896807.15,-7817182304916,-155928590.377533,-411968.068360709,"TNB",70,3
"103",-8253835210799.67,-8396432646323.05,-166219603.150805,-460258.440024724,"TNB",71,1
"104",-8330814266076.08,-8309857368946.59,-166896520.624889,-452953.254202758,"TNB",71,2
"105",-10549055132575.9,-8034812228417.71,-184125914.712767,-487914.468069751,"TNB",71,3
"106",-9858290426627.77,-8550194119508.17,-182336288.12535,-450019.625077423,"TNB",72,1
"107",-9633168585869.8,-8442366961800.31,-180718981.578007,-447175.341407119,"TNB",72,2
"108",-8445068413367.41,-8264607076347.57,-170040976.088751,-437679.687384363,"TNB",72,3
"109",-8341192636751.48,-8828266386712.43,-169170548.335165,-447867.751492004,"TNB",73,1
"110",-9173317296622.53,-9054521553432.41,-175126066.678342,-466020.02103243,"TNB",73,2
"111",-8775177348756.26,-8952999476611.36,-171793234.78592,-458810.001022198,"TNB",73,3
"112",-8432720266668.45,-10035441013293.2,-166179022.607093,-411911.803065804,"TNB",74,1
"113",-8125542040226.75,-9537703994285.56,-165337340.55412,-430268.207252051,"TNB",74,2
"114",-9687264392221.69,-9661658107016.69,-175389181.827315,-425568.777353972,"TNB",74,3
"115",-9036471043621.68,-9075478266426.72,-173457853.077651,-464104.413621265,"TNB",75,1
"116",-8514133663261.96,-8592485239664.96,-171073269.512955,-456266.764209063,"TNB",75,2
"117",-9073619242370.5,-8624337487826.66,-174628697.316983,-478684.42503684,"TNB",75,3
"118",-10327899042705.8,-9036154811709.17,-179626572.718347,-446416.836486859,"TNB",76,1
"119",-10079160088307,-8948800369088.45,-180022364.124322,-430468.960168624,"TNB",76,2
"120",-8681885210600.92,-8611046925808.16,-172046378.589179,-474940.31998559,"TNB",76,3
"121",-7762491710905.42,-1285119146751.85,-200633479.622771,-701285.767540716,"GNS",51,1
"122",-8910492695556.03,-1980215162052.71,-199439281.375306,-671471.556355623,"GNS",51,2
"123",-7802441391175.88,-1329173600461.48,-199591888.082959,-730414.523421097,"GNS",51,3
"124",-9625633325920.96,-1593107773623.11,-201769865.237635,-696542.443434952,"GNS",52,1
"125",-9012546347865.28,-1245201219257.58,-201657349.235571,-731964.735245309,"GNS",52,2
"126",-9232157383533.13,-1402365116451.76,-200840236.122773,-719041.941465411,"GNS",52,3
"127",-8061227205515.25,-1604735019477.01,-197666048.03158,-705016.46947233,"GNS",53,1
"128",-8224450991530.8,-1560969697241.58,-196856284.954257,-706467.280995173,"GNS",53,2
"129",-8264038670510.4,-1726786688975.37,-197075274.541344,-698888.461588118,"GNS",53,3
"130",-9633357494513.16,-1995838987999.77,-201687067.540457,-668083.743797539,"GNS",54,1
"131",-8872935374562.48,-1297609998424.76,-200176397.023299,-697313.559787075,"GNS",54,2
"132",-9288256894939.06,-1527518415214.54,-200045815.085602,-655978.104896055,"GNS",54,3
"133",-8701469779124.67,-1382361925204.57,-199143118.132664,-693136.066930481,"GNS",55,1
"134",-9027909659197.9,-1774134418803.43,-198209778.551463,-697862.304316521,"GNS",55,2
"135",-7977634759212.39,-1619532771157.02,-196767053.243379,-721609.93804555,"GNS",55,3
